gene_id,gene_name,abundance
b3495,uspA,45935
b3986,rplL,12183
b3339,tufA,10296
b1779,gapA,8675
b3980,tufB,8595
b0440,hupB,8148
b1823,cspC,7607
b1237,hns,7523
b1094,acpP,7063
b4015,aceA,6737
b3236,mdh,6597
b1677,lpp,6011
b2779,eno,5839
b3065,rpsU,5808
b3510,hdeA,5773
b2926,pgk,5619
b0957,ompA,5583
b3908,sodA,5547
b3341,rpsG,5543
b2096,gatY,5508
b3315,rplV,5469
b4000,hupA,5456
b3303,rpsE,5130
b4143,groL,5112
b3298,rpsM,4873
b0605,ahpC,4833
b2185,rplY,4803
b0014,dnaK,4741
b3296,rpsD,4591
b4142,groS,4556
b3314,rpsC,4539
b0755,gpmA,4480
b3460,livJ,4471
b0023,rpsT,4401
b4203,rplI,4337
b3637,rpmB,4182
b3317,rplB,4159
b1136,icd,4117
b2417,crr,4115
b3305,rplF,4110
b3985,rplJ,4071
b2609,rpsP,4070
b2093,gatB,4058
b3294,rplQ,4028
b2414,cysK,4010
b3308,rplE,4001
b4202,rpsR,3890
b3307,rpsN,3871
b3321,rpsJ,3843
b4243,ridA,3826
b3984,rplA,3815
b3304,rplR,3768
b2551,glyA,3754
b3340,fusA,3698
b0903,pflB,3655
b0170,tsf,3538
b4200,rpsF,3534
b1716,rplT,3505
b2095,gatZ,3504
b3312,rpmC,3482
b3301,rplO,3470
b3310,rplN,3455
b3309,rplX,3445
b2606,rplS,3419
b0169,rpsB,3405
b3231,rplM,3383
b3732,atpD,3329
b3320,rplC,3328
b0911,rpsA,3309
b2579,grcA,3276
b3319,rplD,3240
b3230,rpsI,3209
b0623,cspE,3201
b3983,rplK,3190
b3165,rpsO,3140
b1324,tpx,3133
b2665,ygaU,3075
b1415,aldA,3070
b1482,osmC,2951
b2007,yeeX,2888
b4226,ppa,2812
b3302,rpmD,2808
b3313,rplP,2804
b3928,zapB,2785
b2925,fbaA,2783
b1480,sra,2723
b3306,rpsH,2692
b3734,atpA,2663
b1712,ihfA,2653
b4245,pyrB,2647
b3316,rpsS,2580
b1241,adhE,2569
b0436,tig,2559
b3636,rpmG,2527
b3342,rpsL,2492
b0114,aceE,2473
b0812,dps,2436
b3708,tnaA,2417
b4177,purA,2371
b1243,oppA,2357
b3544,dppA,2354
b3919,tpiA,2342
b3297,rpsK,2323
b0197,metQ,2301
b3703,rpmH,2288
b0008,talB,2267
b3186,rplU,2248
b2415,ptsH,2247
b0116,lpd,2230
b0811,glnH,2207
b3185,rpmA,2186
b1923,fliC,2177
b2150,mglB,2164
b0474,adk,2164
b1089,rpmF,2144
b3609,secB,2107
b3774,ilvC,2107
b2518,ndk,2106
b0329,yahO,2038
b3831,udp,2037
b4244,pyrI,2023
b1004,wrbA,2017
b2029,gnd,2016
b3829,metE,2005
b2310,argT,2003
b0912,ihfB,1996
b4014,aceB,1972
b2094,gatA,1972
b1288,fabI,1968
b2323,fabB,1955
b0728,sucC,1948
b1676,pykF,1935
b0729,sucD,1908
b3781,trxA,1907
b3295,rpoA,1905
b3098,yqjD,1896
b3203,hpf,1891
b2913,serA,5643000
b3751,rbsB,1880
b3311,rpsQ,1834
b0118,acnB,1786
b0172,frr,1766
b1920,fliY,1755
b3433,asd,1717
b3517,gadA,1699
b4034,malE,1676
b0178,skp,1668
b0607,uspG,1656
b3783,rho,1630
b0753,ybgS,1622
b0115,aceF,1607
b0928,aspC,1602
b2498,upp,1592
b0720,gltA,1557
b0407,yajC,1556
b0525,ppiB,1552
b3649,rpoZ,1514
b2614,grpE,1476
b2942,metK,1467
b0166,dapD,1464
b0415,ribE,1457
b4401,arcA,1436
b4045,yjbJ,1434
b2476,purC,1431
b3764,yifE,1427
b0907,serC,1421
b4069,acs,1420
b2416,ptsI,1416
b4139,aspA,1414
b3988,rpoC,1414
b3870,glnA,1413
b3509,hdeB,1401
b0954,fabA,1398
b1718,infC,1394
b3936,rpmE,1393
b0727,sucB,1392
b1817,manX,1381
b0426,yajQ,1371
b2914,rpiA,1370
b1739,osmE,1369
b2508,guaB,1369
b4255,rraB,1353
b3987,rpoB,1352
b3349,slyD,1323
b1093,fabG,1298
b3164,pnp,1296
b1656,sodB,1289
b0889,lrp,1270
b2687,luxS,1256
b4025,pgi,1250
b1092,fabD,1238
b0631,ybeD,1234
b1376,uspF,1230
b3942,katG,1220
b3403,pck,1219
b2309,hisJ,1211
b1641,slyB,1206
b1251,yciI,1199
b2592,clpB,1196
b2215,ompC,1194
b2597,raiA,1174
b1857,znuA,1164
b1283,osmB,1161
b2935,tktA,1148
b1215,kdsA,1137
b3357,crp,1133
b1850,eda,1131
b0953,rmf,1124
b2530,iscS,1116
b1304,pspA,1115
b1905,ftnA,1108
b2809,ygdI,1104
b0655,gltI,1095
b4411,ecnB,1091
b1493,gadB,1086
b2153,folE,1083
b0163,yaeH,1060
b1003,yccJ,1054
b4376,osmY,1043
b1654,grxD,1042
b3926,glpK,1038
b3318,rplW,1038
b3736,atpF,1035
b1761,gdhA,1035
b0897,ycaC,1033
b4172,hfq,1027
b3336,bfr,1015
b1550,gnsB,1015
b1175,minD,1013
b2464,talA,1011
b0930,asnS,1011
b0437,clpP,1011
b2266,elaB,1010
b2669,stpA,1009
b1261,trpB,1004
b0074,leuA,1004
b0471,ybaB,1000
b1260,trpA,995
b2480,bcp,992
b2962,yggX,990
b4384,deoD,988
b3731,atpC,986
b0237,pepD,983
b2696,csrA,982
b3733,atpG,982
b2097,fbaB,981
b3229,sspA,972
b0814,ompX,963
b1207,prs,958
b0325,yahK,947
b3982,nusG,934
b0884,infA,931
b2296,ackA,927
b3024,ygiW,925
b2091,gatD,916
b1103,hinT,908
b0134,panB,906
b3414,nfuA,903
b0929,ompF,898
b2890,lysS,890
b0004,thrC,889
b3169,nusA,888
b0724,sdhB,887
b0222,gmhA,883
b3912,cpxR,883
b3735,atpH,882
b0565,ompT,880
b2297,pta,877
b1967,hchA,876
b2529,iscU,876
b0095,ftsZ,868
b0863,artI,858
b0071,leuD,855
b3251,mreB,850
b0073,leuB,845
b3588,aldB,834
b4147,efp,833
b3713,chrR,828
b1667,ydhR,824
b1440,ydcS,820
b1174,minE,817
b3556,cspA,813
b1854,pykA,810
b1123,potD,809
b0684,fldA,804
b3610,grxC,803
b3916,pfkA,802
b4383,deoB,801
b3956,ppc,797
b4207,fklB,796
b0723,sdhA,796
b0754,aroG,791
b3619,hldD,790
b2080,yegP,772
b0893,serS,769
b1219,ychN,769
b1452,yncE,768
b0473,htpG,766
b1809,yoaB,759
b1051,msyB,757
b3559,glyS,756
b0161,degP,753
b0578,nfsB,752
b0194,proS,748
b1333,uspE,747
b3181,greA,742
b3168,infB,741
b0733,cydA,738
b2465,tktB,738
b0740,tolB,733
b1539,ydfG,732
b4051,qorA,731
b1604,ydgH,729
b3347,fkpA,729
b0185,accA,724
b1091,fabH,724
b3363,ppiA,723
b2507,guaA,721
b1131,purB,719
b0767,pgl,718
b1064,grxB,718
b0145,dksA,711
b3858,yihD,705
b1836,yebV,705
b3233,yhcB,700
b3299,rpmJ,700
b1444,patD,697
b0726,sucA,692
b2699,recA,692
b1635,gstA,691
b2294,yfbU,686
b2922,yggE,686
b0072,leuC,684
b1719,thrS,683
b2217,rcsB,680
b3180,yhbY,676
b4006,purH,675
b3426,glpD,674
b3029,ygiN,672
b0126,can,668
b0453,ybaY,663
b1866,aspS,660
b0523,purE,660
b1973,zinT,656
b0880,cspD,650
b0782,moaB,648
b0854,potF,642
b2400,gltX,642
b0838,gstB,640
b0180,fabZ,637
b3737,atpE,636
b3384,trpS,631
b2042,wcaN,629
b3192,mlaC,628
b2463,maeB,628
b3031,yqiA,625
b1611,fumC,623
