Metabolite Name,Reverse Reaction ,initial conc in g/L ,molecular weight ,initial conc,,
Glucose ,EX_glc__D_e_reverse,10,180.156,55.5074491,,
Citrate ,EX_cit_e_reverse,1,189.1,5.288207298,,
Ammonium Ion,EX_nh4_e_reverse,10,18.04,554.3237251,,
Phosphate ,EX_pi_e_reverse,15,94.97,157.9446141,,
Magnesium ,EX_mg2_e_reverse,0.3,24.31,12.34060058,,
Sulfate ,EX_so4_e_reverse,0.552,96.06,5.746408495,,
Thiosulfate ,EX_tsul_e_reverse,5,112.12,44.5950767,,
Sodium,EX_na1_e_reverse,,,,,
Potassium ,EX_k_e_reverse,,,,,
Calcium ,EX_ca2_e_reverse,,,,,
Alanine,EX_ala__L_e_reverse,,,,,
Arginine,EX_arg__L_e_reverse,,,,,
Aspartic acid,EX_asp__L_e_reverse,,,,,
Glutamic acid,EX_glu__L_e_reverse,,,,,
Glycine,EX_gly_e_reverse,,,,,
Histidine,EX_his__L_e_reverse,,,,,
Isoleucine,EX_ile__L_e_reverse,,,,,
Leucine,EX_leu__L_e_reverse,,,,,
Lysine,EX_lys__L_e_reverse,,,,,
Methionine,EX_met__L_e_reverse,,,,,
Phenylalanine,EX_phe__L_e_reverse,,,,,
Proline,EX_pro__L_e_reverse,,,,,
Serine,EX_ser__L_e_reverse,,,,,
Threonine,EX_thr__L_e_reverse,,,,,
Tryptophan,EX_trp__L_e_reverse,,,,,
Tyrosine,EX_tyr__L_e_reverse,,,,,
Valine,EX_val__L_e_reverse,,,,,
Chloride ,EX_cl_e_reverse,,,,,
Cysteine ,EX_cys__L_e_reverse,,,,,
Nickel ,EX_ni2_e_reverse,,,,,
Selenium,EX_sel_e_reverse,,,,,
Manganese,EX_mn2_e_reverse,,,,,
Zinc,EX_zn2_e_reverse,,,,,
Molybdenum,EX_mobd_e_reverse,,,,,
Copper,EX_cu2_e_reverse,,,,,
Cobalt,EX_cobalt2_e_reverse,,,,,
Thiamine,EX_thm_e_reverse,,,,,
Nicotinic acid,EX_nac_e_reverse,,,,,
Pyridoxine,EX_pydx_e_reverse,,,,,
Biotin,EX_btn_e_reverse,,,,,
Cobalamin,EX_cbl1_e_reverse,,,,,
Iron,EX_fe2_e_reverse,,,,,
Iron,EX_fe3_e_reverse,,,,,
xylose,EX_xyl__D_e_reverse,,,,,
arabinose,EX_arab__L_e_reverse,,,,,
fructose,EX_fru_e_reverse,,,,,
lactose,EX_lcts_e_reverse,,,,,
sucrose,EX_sucr_e_reverse,,,,,
glycerol,EX_glyc_e_reverse,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
